grdc_no,lon,lat
1200,-60.75,79.25
1201,-60.25,79.25
1202,-59.75,79.25
1203,-59.25,79.25
1204,-58.75,79.25
1205,-58.25,79.25
1206,-57.75,79.25
1207,-57.25,79.25
1208,-56.75,79.25
1209,-56.25,79.25
1210,-55.75,79.25
1211,-55.25,79.25
1212,-54.75,79.25
1213,-54.25,79.25
1214,-53.75,79.25
1215,-53.25,79.25
1216,-52.75,79.25
1217,-52.25,79.25
1218,-51.75,79.25
1219,-51.25,79.25
1220,-50.75,79.25
1221,-50.25,79.25
1222,-49.75,79.25
1223,-49.25,79.25
1224,-48.75,79.25
1225,-48.25,79.25
1226,-47.75,79.25
1227,-47.25,79.25
1228,-46.75,79.25
1229,-46.25,79.25
1230,-45.75,79.25
1231,-45.25,79.25
1232,-44.75,79.25
1233,-44.25,79.25
1234,-43.75,79.25
1235,-43.25,79.25
1236,-42.75,79.25
1237,-42.25,79.25
1238,-41.75,79.25
1239,-41.25,79.25
1240,-40.75,79.25
1241,-40.25,79.25
1242,-39.75,79.25
1243,-39.25,79.25
1244,-38.75,79.25
